Name1	Name2	Edge type	Edge weight
ACRBP	ENST00000229243.2	2	0.7207605241924259
ACSF2	ACSF2	1	0.9999999999999998
ACSF3	ACSF3	1	1.0
ACSL1	ACSL1	1	1.0166150645733052
ACSL1	ALOX5	1	-0.1299658606868747
ACSL3	ACSL3	1	1.000968885536919
ACSL3	AGFG1	1	-0.03114200179987286
ACSL5	ACSL5	1	1.000148226533269
ACSL5	ENST00000210060.7	2	-0.01217573424373813
ACSS1	ACSS1	1	0.9999999999999998
ACSS2	ACSS2	1	1.0
ACTA1	ACTA1	1	1.1368415211071592
ACTA1	ACTN2	1	-0.2748488392958433
ACTA1	ATP2A1	1	-0.202502189240496
ACTA1	ENST00000164139.3	2	-0.035432750183138066
ACTC1	ACTC1	1	0.9999999999999998
ACTL6A	ACTL6A	1	1.0
ACTN2	ACTN2	1	1.306373456533572
ACTN2	ANKRD2	1	-0.2850765460332421
ACTN2	ANKRD23	1	-0.128818247355074
ACTN2	ASB2	1	-0.08477278450232745
ACTN2	ATP2A1	1	-0.3235971261344416
ACTR1B	ACTR1B	1	1.0030101384024221
ACTR1B	APH1A	1	-0.01043414597282238
ACTR1B	ATP2A3	1	-0.036338901304853566
ACTR5	ACTR5	1	0.9999999999999998
ACTR8	ACTR8	1	0.9999999999999998
ACVR1	ACVR1	1	1.001117079825109
ACVR1	ANO6	1	-0.033441406855047366
ACVR1B	ACVR1B	1	1.00002540340413
ACVR1B	ATP2B1	1	0.005040242996395938
ACY1	ACY1	1	1.008472010282425
ACY1	AREL1	1	-0.08802263187703296
ACYP1	ACYP1	1	1.0
ADA	ADA	1	1.0
ADAM10	ADAM10	1	1.0
ADAM15	ADAM15	1	1.0
ADAM17	ADAM17	1	1.004728912906059
ADAM17	ARL6IP6	1	-0.06892949675815002
ADAM19	ADAM19	1	1.000212507808202
ADAM19	ENST00000257527.4	2	0.014579196403468619
ADAM28	ADAM28	1	1.000000000000001
ADAM8	ADAM8	1	1.000961368799491
ADAM8	ASXL2	1	0.031020848303359383
ADAM9	ADAM9	1	1.001067910691952
ADAM9	ENST00000215631.4	2	0.03269634727607551
ADAMTS10	ADAMTS10	1	1.0
ADAMTS2	ADAMTS2	1	1.0710413677714599
ADAMTS2	ALOX15B	1	-0.1169910997454789
ADAMTS2	AMPH	1	-0.2086883030878495
ADAMTS2	ANG	1	-0.02135878266009239
ADAMTS2	ENST00000251582.7	2	0.0809284077238639
ADAMTSL4	ADAMTSL4	1	1.000063603774948
ADAMTSL4	AP1M1	1	0.004438485594390029
ADAMTSL4	ENST00000258362.3	2	-0.0066219706373407405
ADAMTSL4-AS1	ADAMTSL4-AS1	1	0.9999999999999996
ADAP1	ADAP1	1	1.00014924814094
ADAP1	AGTRAP	1	-0.007750460245667112
ADAP1	ARPC4	1	-0.009120749093777912
ADAR	ADAR	1	1.0000891605867661
ADAR	ENST00000218388.4	2	0.009442909317361524
ADARB1	ADARB1	1	1.0
ADARB2	ADARB2	1	1.0
ADAT2	ADAT2	1	1.004891680372128
ADAT2	ANXA6	1	0.05403094395436708
ADCK1	ADCK1	1	1.034474434197392
ADCK1	ENST00000238561.5	2	0.1888462888452482
ADCK2	ADCK2	1	0.9999999999999998
ADCK4	ADCK4	1	1.00113843724348
ADCK4	ALOX15B	1	-0.03364116319617416
ADCK4	B3GALT4	1	-0.002826192343301837
ADCK5	ADCK5	1	1.0
ADCY3	ADCY3	1	1.0
ADCY4	ADCY4	1	0.9999999999999998
ADCY7	ADCY7	1	1.031521905172577
ADCY7	ENST00000254235.3	2	0.1803206468441299
ADD1	ADD1	1	1.000000000000001
ADD2	ADD2	1	1.00227598147109
ADD2	ALAD	1	-0.04776150712390265
ADD3	ADD3	1	1.0037419127666851
ADD3	AGTPBP1	1	-0.035336242108237485
ADD3	ANKRD10	1	-0.034869539019054714
ADD3	ARGLU1	1	-0.03580569075732615
ADHFE1	ADHFE1	1	1.000187326243358
ADIPOR2	ADIPOR2	1	1.00026455954633
ADIRF	ADIRF	1	0.9999999999999996
ADK	ADK	1	1.0
ADM	ADM	1	1.000000000000001
ADNP	ADNP	1	1.000499465931465
ADNP	ASB7	1	-0.02235431496784018
ADNP2	ADNP2	1	1.0
ADO	ADO	1	1.0008550084893701
ADO	AP1M1	1	0.029253025978207232
ADORA2A	ADORA2A	1	1.000002780166592
ADORA2A	AGPAT9	1	-0.0016673854750887118
ADORA3	ADORA3	1	1.023599340592095
ADORA3	ENST00000241356.4	2	0.1554228730543765
ADPRH	ADPRH	1	1.000000000000001
ADPRHL2	ADPRHL2	1	0.9999999999999998
ADPRM	ADPRM	1	1.004590150148178
ADPRM	ADTRP	1	-0.04388815606358182
ADPRM	ENST00000215587.7	2	0.05171839428414565
ADRB2	ADRB2	1	1.0001468838591892
ADRB2	APOBEC3H	1	-0.012120455191834741
ADRBK1	ADRBK1	1	1.0003551655182192
ADRBK1	ENST00000210060.7	2	0.007682427660717167
ADRBK1	ENST00000215793.8	2	0.0172115371417525
ADRM1	ADRM1	1	1.0390358476315429
ADRM1	AURKAIP1	1	-0.2013942527279666
ADSL	ADSL	1	1.003711861494379
ADSL	APEH	1	-0.008966664444223726
ADSL	ARFGAP2	1	-0.058082528095033226
ADTRP	ADTRP	1	1.0036393797559258
ADTRP	ATG9B	1	-0.041471112657579016
AEBP1	AEBP1	1	0.9999999999999998
AEN	AEN	1	1.0
AES	AES	1	1.0226184948188521
AES	ARL4C	1	-0.1520858018577736
AFF4	AFF4	1	1.0
AFG3L2	AFG3L2	1	1.000000000000001
AFTPH	AFTPH	1	1.0659522251171758
AFTPH	ENST00000238856.4	2	0.2651450944578903
AGA	AGA	1	0.9999999999999998
AGAP2	AGAP2	1	1.026015614877831
AGAP2	ASGR2	1	0.004106212511502394
AGAP2	ENST00000257897.3	2	0.1633238788416612
AGAP3	AGAP3	1	1.0009426143913258
AGAP3	ENST00000248899.6	2	0.030716492527899236
AGER	AGER	1	1.000037277859176
AGER	AUP1	1	-0.0061056734939244905
AGFG1	AGFG1	1	1.002160380728979
AGFG1	AGTPBP1	1	-0.007764165545224855
AGFG1	ALOX5	1	-0.01633357367757809
AGFG1	AMPD2	1	0.029415122476690536
AGFG2	AGFG2	1	1.0
AGO1	AGO1	1	0.9999999999999998
AGO2	AGO2	1	1.0302758908399252
AGO2	ENST00000220592.5	2	0.176614043626422
AGO4	AGO4	1	1.000634021707214
AGO4	AREL1	1	-0.02518776867328515
AGPAT1	AGPAT1	1	1.0
AGPAT2	AGPAT2	1	1.033538467313476
AGPAT2	AGTRAP	1	-0.1470306369634885
AGPAT2	ARIH1	1	0.1064654079974859
AGPAT2	ARL6IP4	1	-0.030650461369826132
AGPAT2	B3GALT4	1	-0.01390025085191998
AGPAT3	AGPAT3	1	1.000149005338163
AGPAT3	ENST00000222990.3	2	0.01220768367685948
AGPAT4	AGPAT4	1	1.0
AGPAT9	AGPAT9	1	1.000002780166594
AGPS	AGPS	1	1.0
AGTPBP1	AGTPBP1	1	1.006664420236513
AGTPBP1	ANAPC11	1	0.07338763378998743
AGTRAP	AGTRAP	1	1.023041879968526
AGTRAP	ARPC4	1	-0.04253504084850451
AGXT	AGXT	1	1.125755936490676
AGXT	AHSG	1	-0.02375279440617822
AGXT	ALDOB	1	-0.3249071085123661
AGXT	AMBP	1	-0.021717537744623042
AGXT	APOA1	1	-0.1123034160324252
AHCYL1	AHCYL1	1	0.9999999999999998
AHSA1	AHSA1	1	1.0510025923172501
AHSA1	ENST00000216479.3	2	0.231525067196469
AHSG	AHSG	1	1.109588742557497
AHSG	ALDOB	1	-0.07604735433204796
AHSG	AMBP	1	-0.2083224925822257
AHSG	APOA1	1	-0.1798724979161374
AHSP	AHSP	1	1.0014760657781758
AHSP	ALAS2	1	-0.038447945957589935
AIF1	AIF1	1	1.0016069002859642
AIF1	AMICA1	1	-0.040118355082084715
AIFM3	AIFM3	1	1.012679227883082
AIFM3	APBB1	1	0.029849945030921088
AIFM3	ARHGEF10L	1	-0.09580711221706678
AIFM3	ARRB1	1	-0.0376662148336267
AIM1	AIM1	1	0.9999999999999996
AIM2	AIM2	1	1.0
AIMP1	AIMP1	1	1.000000000000001
AIP	AIP	1	1.000042263156173
AIP	ENST00000257745.4	2	-0.006501149309708104
AK5	AK5	1	1.0
AKAP1	AKAP1	1	1.0
